DATA_TYPE MOVIE
VERSION Tekscan Pressure Measurement System 7.60-14I
HARDWARE 112-14, 02_2_3
MAP_VERSION 8.0
HW_TYPE 4
VersaPogoFsx 1
VersaV6CuffFsx 0
FILENAME C:\Users\u21022934\Desktop\VDG_Stuff\PhD\Tekscan\Tyre 0ptread\TM700Fz560Tr0_Buff_r1.fsx
SENSOR_TYPE 8001
ROWS 88
COLS 96
ROW_SPACING 3.048 millimeters
COL_SPACING 3.048 millimeters
SENSEL_AREA 9.2903 mm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.25
MICRO_SECOND 1
TIME 2020/12/08 16:00:52.5
SENSITIVITY Low-3
MAP_INDEX 0
SUBMAP 0
START_FRAME 69
END_FRAME 69
UNITS raw
MIRROR_ROW 0
MIRROR_COL 0
ASCII_DATA @@

Frame 69, 17.1,, 2020/12/08 16:01:09.6,,,Raw Sum=,,104110
0,5,0,3,3,0,4,3,6,0,0,3,0,4,3,5,11,62,24,19,39,50,66,87,64,46,20,22,31,32,36,48,71,79,65,67,71,73,55,40,9,0,0,0,0,5,3,0,0,0,0,36,27,21,33,49,65,61,42,21,20,38,74,60,46,32,21,24,26,8,20,59,64,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,3,4,0,5,4,6,0,3,4,0,5,4,7,19,41,23,17,38,35,49,79,62,45,34,25,36,25,28,34,52,50,55,60,68,64,55,33,3,3,0,0,0,4,6,0,0,0,52,63,47,50,54,66,88,56,40,28,26,36,74,61,53,36,20,32,36,9,22,49,67,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,4,3,6,4,6,0,4,5,0,5,4,7,26,41,20,15,39,45,51,78,58,51,31,27,26,17,19,27,43,39,44,60,66,38,10,4,0,3,0,0,0,3,13,0,0,22,97,60,53,51,58,64,83,53,44,22,19,40,84,61,51,41,21,28,39,23,42,55,65,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,4,4,4,6,5,5,3,5,5,3,6,5,7,36,49,21,19,43,35,52,66,72,47,36,26,15,12,9,19,38,55,49,62,68,66,27,8,0,3,0,3,0,0,81,5,70,76,91,65,58,42,47,65,77,65,45,21,23,38,75,66,59,42,18,30,49,32,63,53,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,4,5,5,4,5,0,5,5,4,6,5,6,48,44,22,26,44,37,55,86,69,44,30,18,8,9,6,7,27,25,41,51,58,61,26,8,0,3,0,3,0,4,91,70,75,96,72,58,34,47,49,64,73,54,41,19,22,45,79,66,58,42,23,31,49,36,61,58,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,4,6,5,4,5,0,5,5,5,6,5,6,15,46,30,33,41,43,56,85,75,54,34,16,5,7,3,7,9,4,24,40,46,74,50,10,0,3,4,25,81,121,84,66,74,88,89,52,46,37,44,68,77,68,43,19,22,47,95,69,62,38,20,28,54,43,69,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,4,6,4,4,4,0,5,5,5,5,4,4,10,59,43,32,44,36,49,71,81,46,27,8,6,8,3,4,4,0,7,13,26,56,79,4,0,28,67,85,91,102,73,59,57,83,91,62,49,42,53,57,56,58,36,18,22,33,86,66,54,47,28,41,63,51,56,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,3,6,0,3,3,0,4,3,5,4,3,3,7,49,38,31,36,39,52,80,66,54,24,7,3,5,0,3,5,0,5,4,15,45,38,3,0,18,62,87,89,85,67,57,60,80,48,12,3,7,8,34,75,55,36,10,15,35,99,67,59,49,28,46,70,32,53,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,5,0,0,3,0,3,0,5,0,0,0,9,53,35,35,44,43,48,79,69,55,33,9,5,5,0,5,8,5,29,29,53,89,16,0,0,10,46,56,58,86,69,56,57,90,53,9,0,0,3,25,64,60,23,4,10,33,48,32,45,36,20,40,63,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,4,0,0,0,0,3,0,5,0,0,0,14,50,39,38,44,34,40,79,67,45,28,18,11,5,6,24,29,13,41,50,61,95,4,0,0,12,55,73,87,82,76,57,63,73,60,18,0,6,8,28,53,50,19,0,9,28,46,28,36,27,10,27,65,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,13,47,40,42,42,23,31,81,58,34,16,18,10,6,8,32,54,40,38,40,51,46,0,0,0,8,58,66,79,82,65,57,52,79,49,8,0,0,11,23,69,50,18,0,6,26,49,23,28,9,0,5,57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,14,57,40,47,37,13,34,66,67,36,15,15,9,3,8,28,51,45,28,28,45,15,0,0,0,6,57,62,63,74,65,45,51,81,53,6,0,0,10,37,77,56,12,0,0,26,62,22,15,0,0,0,40,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,14,52,45,44,17,15,42,83,99,111,77,51,30,23,35,70,54,38,16,17,35,5,0,0,0,3,42,44,62,76,61,47,49,71,66,22,7,15,29,49,76,51,0,0,0,8,81,21,10,0,0,0,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,34,39,43,40,42,64,84,79,83,56,52,66,75,79,58,31,12,3,4,22,0,0,0,0,0,51,58,66,78,60,46,50,62,87,50,35,33,42,60,76,21,0,0,0,0,59,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,36,43,41,64,68,66,82,64,35,10,9,19,49,82,57,16,5,0,0,10,0,0,0,3,0,31,51,62,70,41,39,41,57,86,44,30,27,36,43,64,35,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,48,57,62,69,77,79,38,11,10,22,52,69,47,7,4,0,0,0,0,0,0,0,0,4,24,56,61,39,31,31,53,68,29,7,9,14,29,45,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,50,56,64,71,76,53,25,16,28,39,43,24,0,0,0,0,0,0,0,0,0,0,0,0,19,40,29,15,22,49,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,47,61,66,85,50,24,7,7,14,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,39,53,68,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,51,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@@
